Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Bronze Medal;3;08/08/2024;Hasrat JAFAROV;M;Wrestling;WRE;Men's Greco-Roman 67kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/repf000100--;AZE;Azerbaijan
Bronze Medal;3;08/10/2024;Chermen VALIEV;M;Wrestling;WRE;Men's Freestyle 74kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000200--;ALB;Albania
Bronze Medal;3;27/07/2024;KIM Woomin;M;Swimming;SWM;Men's 400m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--;KOR;Korea
Gold Medal;1;29/07/2024;Korea;M;Archery;ARC;Men's Team;https://olympics.com/en/paris-2024/results/archery/men-s-team/fnl-000100--;KOR;Korea
Gold Medal;1;08/02/2024;ZHENG/HUANG;X;Badminton;BDM;Mixed Doubles;https://olympics.com/en/paris-2024/results/badminton/mixed-doubles/fnl-000100--;CHN;China
Bronze Medal;3;08/05/2024;United States;W;3x3 Basketball;BK3;Women;https://olympics.com/en/paris-2024/results/3x3-basketball/women/fnl-000200--;USA;United States
Bronze Medal;3;08/10/2024;Serbia;M;Basketball;BKB;Men;https://olympics.com/en/paris-2024/results/basketball/men/fnl-000200--;SRB;Serbia
Gold Medal;1;08/08/2024;LIU/JI;M;Canoe Sprint;CSP;Men's Canoe Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------;CHN;China
Bronze Medal;3;08/08/2024;Spain;M;Canoe Sprint;CSP;Men's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-four-500m/fnl---------;ESP;Spain
Bronze Medal;3;08/09/2024;MACKENZIE/VINCENT;W;Canoe Sprint;CSP;Women's Canoe Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------;CAN;Canada
Bronze Medal;3;08/09/2024;PUPP/FOJT;W;Canoe Sprint;CSP;Women's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------;HUN;Hungary
Bronze Medal;3;08/08/2024;Hungary;W;Canoe Sprint;CSP;Women's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------;HUN;Hungary
Gold Medal;1;08/08/2024;New Zealand;W;Canoe Sprint;CSP;Women's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------;NZL;New Zealand
Bronze Medal;3;08/07/2024;Italy;M;Cycling Track;CTR;Men's Team Pursuit;https://olympics.com/en/paris-2024/results/cycling-track/men-s-team-pursuit/fnl---------;ITA;Italy
Gold Medal;1;08/07/2024;United States;W;Cycling Track;CTR;Women's Team Pursuit;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------;USA;United States
Bronze Medal;3;08/05/2024;Germany;W;Cycling Track;CTR;Women's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------;GER;Germany
Gold Medal;1;08/02/2024;China;M;Diving;DIV;Men's Synchronised 3m Springboard;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--;CHN;China
Gold Medal;1;31/07/2024;China;W;Diving;DIV;Women's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/women-s-synchronised-10m-platform/fnl-000100--;CHN;China
Bronze Medal;3;29/07/2024;Japan;O;Equestrian;EQD;Eventing Team;https://olympics.com/en/paris-2024/results/equestrian/eventing/jump000100--;JPN;Japan
Bronze Medal;3;08/02/2024;France;O;Equestrian;EQD;Jumping Team;https://olympics.com/en/paris-2024/results/equestrian/jumping-team/fnl-000100--;FRA;France
Bronze Medal;3;08/04/2024;France;M;Fencing;FEN;Men's Foil Team;https://olympics.com/en/paris-2024/results/fencing/men-s-foil-team/fnl-000200--;FRA;France
Bronze Medal;3;31/07/2024;France;M;Fencing;FEN;Men's Sabre Team;https://olympics.com/en/paris-2024/results/fencing/men-s-sabre-team/fnl-000200--;FRA;France
Gold Medal;1;30/07/2024;Italy;W;Fencing;FEN;Women's Épée Team;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--;ITA;Italy
Bronze Medal;3;08/01/2024;Japan;W;Fencing;FEN;Women's Foil Team;https://olympics.com/en/paris-2024/results/fencing/women-s-foil-team/fnl-000200--;JPN;Japan
Silver Medal;2;08/03/2024;Korea;W;Fencing;FEN;Women's Sabre Team;https://olympics.com/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--;KOR;Korea
Bronze Medal;3;29/07/2024;United States;M;Artistic Gymnastics;GAR;Men's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--;USA;United States
Gold Medal;1;08/11/2024;Denmark;M;Handball;HBL;Men;https://olympics.com/en/paris-2024/results/handball/men/fnl-000100--;DEN;Denmark
Bronze Medal;3;08/11/2024;Spain;M;Handball;HBL;Men;https://olympics.com/en/paris-2024/results/handball/men/fnl-000200--;ESP;Spain
Bronze Medal;3;08/10/2024;Denmark;W;Handball;HBL;Women;https://olympics.com/en/paris-2024/results/handball/women/fnl-000200--;DEN;Denmark
Silver Medal;2;08/09/2024;China;W;Hockey;HOC;Women;https://olympics.com/en/paris-2024/results/hockey/women/fnl-000100--;CHN;China
Silver Medal;2;08/03/2024;Netherlands;M;Rowing;ROW;Men's Eight;https://olympics.com/en/paris-2024/results/rowing/men-s-eight/fnl---------;NED;Netherlands
Bronze Medal;3;08/02/2024;Switzerland;M;Rowing;ROW;Men's Pair;https://olympics.com/en/paris-2024/results/rowing/men-s-pair/fnl---------;SUI;Switzerland
Silver Medal;2;31/07/2024;Italy;M;Rowing;ROW;Men's Quadruple Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------;ITA;Italy
Gold Medal;1;31/07/2024;Netherlands;M;Rowing;ROW;Men's Quadruple Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------;NED;Netherlands
Bronze Medal;3;31/07/2024;Poland;M;Rowing;ROW;Men's Quadruple Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-quadruple-sculls/fnl---------;POL;Poland
Bronze Medal;3;08/03/2024;Great Britain;W;Rowing;ROW;Women's Eight;https://olympics.com/en/paris-2024/results/rowing/women-s-eight/fnl---------;GBR;Great Britain
Bronze Medal;3;08/02/2024;Australia;W;Rowing;ROW;Women's Pair;https://olympics.com/en/paris-2024/results/rowing/women-s-pair/fnl---------;AUS;Australia
Silver Medal;2;08/02/2024;Romania;W;Rowing;ROW;Lightweight Women's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------;ROU;Romania
Gold Medal;1;08/01/2024;New Zealand;W;Rowing;ROW;Women's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-double-sculls/fnl---------;NZL;New Zealand
Gold Medal;1;31/07/2024;Great Britain;W;Rowing;ROW;Women's Quadruple Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-quadruple-sculls/fnl---------;GBR;Great Britain
Silver Medal;2;27/07/2024;Fiji;M;Rugby Sevens;RU7;Men;https://olympics.com/en/paris-2024/results/rugby-sevens/men/fnl-000100--;FIJ;Fiji
Gold Medal;1;30/07/2024;New Zealand;W;Rugby Sevens;RU7;Women;https://olympics.com/en/paris-2024/results/rugby-sevens/women/fnl-000100--;NZL;New Zealand
Gold Medal;1;08/04/2024;China;M;Swimming;SWM;Men's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--;CHN;China
Silver Medal;2;08/03/2024;China;X;Swimming;SWM;Mixed 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--;CHN;China
Gold Medal;1;08/03/2024;EBDEN/PEERS;M;Tennis;TEN;Men's Doubles;https://olympics.com/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--;AUS;Australia
Gold Medal;1;08/04/2024;ERRANI/PAOLINI;W;Tennis;TEN;Women's Doubles;https://olympics.com/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--;ITA;Italy
Gold Medal;1;08/05/2024;Germany;X;Triathlon;TRI;Mixed Relay;https://olympics.com/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--;GER;Germany
Silver Medal;2;08/05/2024;United States;X;Triathlon;TRI;Mixed Relay;https://olympics.com/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--;USA;United States
Silver Medal;2;08/09/2024;Sweden;M;Table Tennis;TTE;Men's Team;https://olympics.com/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000;SWE;Sweden
Gold Medal;1;08/10/2024;China;W;Table Tennis;TTE;Women's Team;https://olympics.com/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000;CHN;China
Gold Medal;1;08/09/2024;ANA PATRICIA/DUDA;W;Beach Volleyball;VBV;Women;https://olympics.com/en/paris-2024/results/beach-volleyball/women/fnl-000100--;BRA;Brazil
Bronze Medal;3;08/09/2024;United States;M;Volleyball;VVO;Men;https://olympics.com/en/paris-2024/results/volleyball/men/fnl-000200--;USA;United States
Silver Medal;2;08/11/2024;United States;W;Volleyball;VVO;Women;https://olympics.com/en/paris-2024/results/volleyball/women/fnl-000100--;USA;United States
Bronze Medal;3;08/07/2024;Malkhas AMOYAN;M;Wrestling;WRE;Men's Greco-Roman 77kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000100--;ARM;Armenia
Silver Medal;2;08/09/2024;Marco Alonso VERDE ALVAREZ;M;Boxing;BOX;Men's 71kg;https://olympics.com/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--;MEX;Mexico
Bronze Medal;3;08/09/2024;Maximilian MAEDER;M;Sailing;SAL;Men's Kite;https://olympics.com/en/paris-2024/results/sailing/men-s-kite/fnl-000300--;SGP;Singapore
Silver Medal;2;30/07/2024;Prisca AWITI ALCARAZ;W;Judo;JUD;Women -63 kg;https://olympics.com/en/paris-2024/results/judo/women--63-kg/fnl-000100--;MEX;Mexico
Bronze Medal;3;28/07/2024;Manu BHAKER;W;Shooting;SHO;10m Air Pistol Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--;IND;India
Silver Medal;2;08/03/2024;Yauheni ZALATY;M;Rowing;ROW;Men's Single Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------;AIN;AIN
Silver Medal;2;08/09/2024;Mari Leivis SANCHEZ;W;Weightlifting;WLF;Women's 71kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--;COL;Colombia
Gold Medal;1;08/09/2024;Toby ROBERTS;M;Sport Climbing;CLB;Men's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--;GBR;Great Britain
Gold Medal;1;08/04/2024;Kaylia NEMOUR;W;Artistic Gymnastics;GAR;Women's Uneven Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--;ALG;Algeria
Bronze Medal;3;08/10/2024;Cheick Sallah CISSE;M;Taekwondo;TKW;Men +80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--plus-80kg/repf000200--;CIV;Côte d'Ivoire
Silver Medal;2;28/07/2024;Distria KRASNIQI;W;Judo;JUD;Women -52 kg;https://olympics.com/en/paris-2024/results/judo/women--52-kg/fnl-000100--;KOS;Kosovo
Silver Medal;2;28/07/2024;Federico Nilo MALDINI;M;Shooting;SHO;10m Air Pistol Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--;ITA;Italy
Gold Medal;1;08/10/2024;Geno PETRIASHVILI;M;Wrestling;WRE;Men's Freestyle 125kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--;GEO;Georgia
Silver Medal;2;08/03/2024;Donna VEKIC;W;Tennis;TEN;Women's Singles;https://olympics.com/en/paris-2024/results/tennis/women-s-singles/fnl-000100--;CRO;Croatia
Gold Medal;1;08/10/2024;Abdumalik KHALOKOV;M;Boxing;BOX;Men's 57kg;https://olympics.com/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;08/08/2024;Semen Sergeevich NOVIKOV;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--;BUL;Bulgaria
Bronze Medal;3;08/05/2024;Manila ESPOSITO;W;Artistic Gymnastics;GAR;Women's Balance Beam;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--;ITA;Italy
Bronze Medal;3;08/09/2024;Gulomjon ABDULLAEV;M;Wrestling;WRE;Men's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000200--;UZB;Uzbekistan
Bronze Medal;3;29/07/2024;Adil OSMANOV;M;Judo;JUD;Men -73 kg;https://olympics.com/en/paris-2024/results/judo/men--73-kg/repf000100--;MDA;Republic of Moldova
Bronze Medal;3;28/07/2024;Jenny RISSVEDS;W;Cycling Mountain Bike;MTB;Women's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--;SWE;Sweden
Bronze Medal;3;08/10/2024;Yarisleidis CIRILO DUBOYS;W;Canoe Sprint;CSP;Women's Canoe Single 200m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------;CUB;Cuba
Gold Medal;1;08/09/2024;Valentin BONTUS;M;Sailing;SAL;Men's Kite;https://olympics.com/en/paris-2024/results/sailing/men-s-kite/fnl-000300--;AUT;Austria
Bronze Medal;3;08/06/2024;Zholaman SHARSHENBEKOV;M;Wrestling;WRE;Men's Greco-Roman 60kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-60kg/repf000100--;KGZ;Kyrgyzstan
Bronze Medal;3;08/10/2024;Nafia KUS AYDIN;W;Taekwondo;TKW;Women +67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--plus-67kg/repf000200--;TUR;Türkiye
Silver Medal;2;08/09/2024;Buse Naz CAKIROGLU;W;Boxing;BOX;Women's 50kg;https://olympics.com/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--;TUR;Türkiye
Silver Medal;2;08/08/2024;Hatice AKBAS;W;Boxing;BOX;Women's 54kg;https://olympics.com/en/paris-2024/results/boxing/women-s-54kg/fnl-000100--;TUR;Türkiye
Silver Medal;2;08/10/2024;Tamara CSIPES;W;Canoe Sprint;CSP;Women's Kayak Single 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------;HUN;Hungary
Bronze Medal;3;08/09/2024;Antonino PIZZOLATO;M;Weightlifting;WLF;Men's 89kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--;ITA;Italy
Bronze Medal;3;08/07/2024;Lena STOJKOVIC;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/repf000200--;CRO;Croatia
Bronze Medal;3;30/07/2024;Somon MAKHMADBEKOV;M;Judo;JUD;Men -81 kg;https://olympics.com/en/paris-2024/results/judo/men--81-kg/repf000200--;TJK;Tajikistan
Gold Medal;1;08/04/2024;Yaroslava MAHUCHIKH;W;Athletics;ATH;Women's High Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--;UKR;Ukraine
Bronze Medal;3;27/07/2024;Tara BABULFATH;W;Judo;JUD;Women -48 kg;https://olympics.com/en/paris-2024/results/judo/women--48-kg/repf000200--;SWE;Sweden
Gold Medal;1;08/09/2024;Viviana MARTON;W;Taekwondo;TKW;Women -67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--;HUN;Hungary
Bronze Medal;3;08/08/2024;Anderson PETERS;M;Athletics;ATH;Men's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--;GRN;Grenada
Gold Medal;1;08/08/2024;Arshad NADEEM;M;Athletics;ATH;Men's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--;PAK;Pakistan
Bronze Medal;3;08/10/2024;Grace Jacob BULLEN;W;Wrestling;WRE;Women's Freestyle 62kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000200--;NOR;Norway
Silver Medal;2;08/10/2024;Munarbek SEIITBEK UULU;M;Boxing;BOX;Men's 57kg;https://olympics.com/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--;KGZ;Kyrgyzstan
Bronze Medal;3;08/07/2024;Djamili-Dini ABOUDOU MOINDZE;M;Boxing;BOX;Men's +92kg;https://olympics.com/en/paris-2024/results/boxing/men-s--plus-92kg/sfnl000200--;FRA;France
Silver Medal;2;08/10/2024;DANY DANN;M;Breaking;BKG;B-Boys;https://olympics.com/en/paris-2024/results/breaking/b-boys/fnl-000100--;FRA;France
Gold Medal;1;29/07/2024;Nicolas GESTIN;M;Canoe Slalom;CSL;Men's Canoe Single;https://olympics.com/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--;FRA;France
Silver Medal;2;08/10/2024;SATO Taishu;M;Modern Pentathlon;MPN;Men's Individual;https://olympics.com/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--;JPN;Japan
Silver Medal;2;08/11/2024;Lea FRIEDRICH;W;Cycling Track;CTR;Women's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------;GER;Germany
Silver Medal;2;08/10/2024;TAMAI Rikuto;M;Diving;DIV;Men's 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--;JPN;Japan
Silver Medal;2;08/10/2024;Esther HENSELEIT;W;Golf;GLF;Women's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------;GER;Germany
Bronze Medal;3;08/01/2024;Peter PALTCHIK;M;Judo;JUD;Men -100 kg;https://olympics.com/en/paris-2024/results/judo/men--100-kg/repf000100--;ISR;Israel
Silver Medal;2;08/09/2024;Karsten WARHOLM;M;Athletics;ATH;Men's 400m Hurdles;https://olympics.com/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--;NOR;Norway
Silver Medal;2;08/07/2024;Anne-Marie RINDOM;W;Sailing;SAL;Women's Dinghy;https://olympics.com/en/paris-2024/results/sailing/women-s-dinghy/fnl-000100--;DEN;Denmark
Bronze Medal;3;08/09/2024;VIDTS Noor;W;Athletics;ATH;Women's Heptathlon;;BEL;Belgium
Bronze Medal;3;28/07/2024;Kimberley WOODS;W;Canoe Slalom;CSL;Women's Kayak Single;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--;GBR;Great Britain
Gold Medal;1;28/07/2024;KANO Koki;M;Fencing;FEN;Men's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--;JPN;Japan
Bronze Medal;3;29/07/2024;HASHIMOTO Soichi;M;Judo;JUD;Men -73 kg;https://olympics.com/en/paris-2024/results/judo/men--73-kg/repf000200--;JPN;Japan
Silver Medal;2;31/07/2024;MURAO Sanshiro;M;Judo;JUD;Men -90 kg;https://olympics.com/en/paris-2024/results/judo/men--90-kg/fnl-000100--;JPN;Japan
Silver Medal;2;08/10/2024;Iryna KOLIADENKO;W;Wrestling;WRE;Women's Freestyle 62kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--;UKR;Ukraine
Bronze Medal;3;08/06/2024;Janjaem SUWANNAPHENG;W;Boxing;BOX;Women's 66kg;https://olympics.com/en/paris-2024/results/boxing/women-s-66kg/sfnl000100--;THA;Thailand
Bronze Medal;3;08/03/2024;Veronika MAJOR;W;Shooting;SHO;25m Pistol Women;https://olympics.com/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--;HUN;Hungary
Gold Medal;1;08/08/2024;Eleanor ALDRIDGE;W;Sailing;SAL;Women's Kite;https://olympics.com/en/paris-2024/results/sailing/women-s-kite/fnl-000200--;GBR;Great Britain
Bronze Medal;3;08/10/2024;Noah WILLIAMS;M;Diving;DIV;Men's 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/10/2024;Tamirat TOLA;M;Athletics;ATH;Men's Marathon;https://olympics.com/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--;ETH;Ethiopia
Gold Medal;1;08/08/2024;XIE Siyi;M;Diving;DIV;Men's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/men-s-3m-springboard/fnl-000100--;CHN;China
Silver Medal;2;08/03/2024;SUN Yingsha;W;Table Tennis;TTE;Women's Singles;https://olympics.com/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--;CHN;China
Bronze Medal;3;08/09/2024;David BETLEHEM;M;Marathon Swimming;OWS;Men's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--;HUN;Hungary
Bronze Medal;3;08/10/2024;Aisuluu TYNYBEKOVA;W;Wrestling;WRE;Women's Freestyle 62kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000100--;KGZ;Kyrgyzstan
Gold Medal;1;27/07/2024;Remco EVENEPOEL;M;Cycling Road;CRD;Men's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;BEL;Belgium
Bronze Medal;3;31/07/2024;Gabriella WILLEMS;W;Judo;JUD;Women -70 kg;https://olympics.com/en/paris-2024/results/judo/women--70-kg/repf000200--;BEL;Belgium
Silver Medal;2;08/02/2024;Benjamin PROUD;M;Swimming;SWM;Men's 50m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--;GBR;Great Britain
Silver Medal;2;08/02/2024;Duncan SCOTT;M;Swimming;SWM;Men's 200m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--;GBR;Great Britain
Bronze Medal;3;08/10/2024;LEE Dabin;W;Taekwondo;TKW;Women +67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--plus-67kg/repf000100--;KOR;Korea
Gold Medal;1;08/07/2024;PARK Taejoon;M;Taekwondo;TKW;Men -58kg;https://olympics.com/en/paris-2024/results/taekwondo/men--58kg/fnl-000100--;KOR;Korea
Gold Medal;1;31/07/2024;Alex YEE;M;Triathlon;TRI;Men's Individual;https://olympics.com/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--;GBR;Great Britain
Gold Medal;1;30/07/2024;Nathan HALES;M;Shooting;SHO;Trap Men;https://olympics.com/en/paris-2024/results/shooting/trap-men/fnl-000100--;GBR;Great Britain
Gold Medal;1;08/01/2024;Hubert KOS;M;Swimming;SWM;Men's 200m Backstroke;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--;HUN;Hungary
Gold Medal;1;27/07/2024;Lukas MAERTENS;M;Swimming;SWM;Men's 400m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--;GER;Germany
Gold Medal;1;08/03/2024;Thea LAFOND;W;Athletics;ATH;Women's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--;DMA;Dominica
Gold Medal;1;08/02/2024;Leon MARCHAND;M;Swimming;SWM;Men's 200m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-individual-medley/fnl-000100--;FRA;France
Gold Medal;1;08/10/2024;Emmanuel WANYONYI;M;Athletics;ATH;Men's 800m;https://olympics.com/en/paris-2024/results/athletics/men-s-800m/fnl-000100--;KEN;Kenya
Bronze Medal;3;08/07/2024;Abraham KIBIWOT;M;Athletics;ATH;Men's 3000m Steeplechase;https://olympics.com/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--;KEN;Kenya
Gold Medal;1;08/10/2024;Faith KIPYEGON;W;Athletics;ATH;Women's 1500m;https://olympics.com/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--;KEN;Kenya
Gold Medal;1;08/09/2024;Beatrice CHEBET;W;Athletics;ATH;Women's 10,000m;https://olympics.com/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--;KEN;Kenya
Bronze Medal;3;08/08/2024;Emma FINUCANE;W;Cycling Track;CTR;Women's Keirin;https://olympics.com/en/paris-2024/results/cycling-track/women-s-keirin/fnl---------;GBR;Great Britain
Silver Medal;2;31/07/2024;Kieran Darren David REILLY;M;Cycling BMX Freestyle;BMF;Men's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--;GBR;Great Britain
Silver Medal;2;08/05/2024;HE Bing Jiao;W;Badminton;BDM;Women's Singles;https://olympics.com/en/paris-2024/results/badminton/women-s-singles/fnl-000100--;CHN;China
Silver Medal;2;08/07/2024;DENG Lijuan;W;Sport Climbing;CLB;Women's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-speed/------------;CHN;China
Silver Medal;2;31/07/2024;Elena LILIK;W;Canoe Slalom;CSL;Women's Canoe Single;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--;GER;Germany
Bronze Medal;3;08/05/2024;Noah HEGGE;M;Canoe Slalom;CSL;Men's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------;GER;Germany
Bronze Medal;3;08/05/2024;WANG Xinjie;M;Shooting;SHO;25m Rapid Fire Pistol Men;https://olympics.com/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--;CHN;China
Silver Medal;2;30/07/2024;QI Ying;M;Shooting;SHO;Trap Men;https://olympics.com/en/paris-2024/results/shooting/trap-men/fnl-000100--;CHN;China
Silver Medal;2;27/07/2024;Baasankhuu BAVUUDORJ;W;Judo;JUD;Women -48 kg;https://olympics.com/en/paris-2024/results/judo/women--48-kg/fnl-000100--;MGL;Mongolia
Silver Medal;2;08/04/2024;Isabell WERTH;O;Equestrian;EQD;Dressage Individual;https://olympics.com/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--;GER;Germany
Gold Medal;1;08/06/2024;Christian KUKUK;O;Equestrian;EQD;Jumping Individual;https://olympics.com/en/paris-2024/results/equestrian/jumping-individual/fnl-0002rr--;GER;Germany
Gold Medal;1;08/09/2024;Olivia REEVES;W;Weightlifting;WLF;Women's 71kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--;USA;United States
Gold Medal;1;08/04/2024;LIU Yang;M;Artistic Gymnastics;GAR;Men's Rings;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--;CHN;China
Gold Medal;1;08/05/2024;ZOU Jingyuan;M;Artistic Gymnastics;GAR;Men's Parallel Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--;CHN;China
Gold Medal;1;31/07/2024;OKA Shinnosuke;M;Artistic Gymnastics;GAR;Men's All-Around;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--;JPN;Japan
Bronze Medal;3;08/06/2024;MENG Lingzhe;M;Wrestling;WRE;Men's Greco-Roman 130kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/repf000200--;CHN;China
